mask1,mask2,intersection,mask1_size,mask2_size,mask2_size_at_mask1_z,iou,iou_at_mask1_z,containment_2p,containment_hcr_at_z,is_best_match,somaprint_hcr_label,somaprint_best_score,somaprint_second_score,somaprint_confident
54,20630,250,540,2974,1537,0.0765931372549019,0.1368363437328954,0.4629629629629629,0.1626545217957059,True,20630,20.77250574721117,5.18442934664146,True
54,20629,9,540,1028,1028,0.0057729313662604,0.0057729313662604,0.0166666666666666,0.0087548638132295,False,20630,20.77250574721117,5.18442934664146,True
55,17757,278,578,1980,990,0.1219298245614035,0.2155038759689922,0.4809688581314879,0.2808080808080808,True,17757,9.958076045615861,4.875298033878805,True
55,10334,150,578,7152,1442,0.0197889182058047,0.0802139037433155,0.259515570934256,0.1040221914008321,False,17757,9.958076045615861,4.875298033878805,True
56,20187,124,467,2032,785,0.0522105263157894,0.1099290780141844,0.2655246252676659,0.1579617834394904,True,20187,16.60164116722612,5.475690081492579,True
56,20183,92,467,2606,1369,0.0308621268030862,0.0527522935779816,0.1970021413276231,0.0672023374726077,False,20187,16.60164116722612,5.475690081492579,True
56,20862,7,467,1878,876,0.0029940119760479,0.0052395209580838,0.0149892933618843,0.0079908675799086,False,20187,16.60164116722612,5.475690081492579,True
57,19525,212,224,4359,374,0.0485014870738961,0.5492227979274611,0.9464285714285714,0.5668449197860963,True,19525,16.612010661379795,4.914028124942554,True
58,15349,75,564,7464,2016,0.0094304036212749,0.029940119760479,0.1329787234042553,0.0372023809523809,False,20628,19.879230109871138,6.1091680010946146,True
58,18500,26,564,2077,398,0.0099426386233269,0.0277777777777777,0.0460992907801418,0.0653266331658291,True,20628,19.879230109871138,6.1091680010946146,True
58,20628,15,564,3670,1051,0.0035553448684522,0.009375,0.026595744680851,0.0142721217887725,False,20628,19.879230109871138,6.1091680010946146,True
59,18362,0,21,4084,0,0.0,0.0,0.0,0.0,False,18362,7.861455425583298,2.911335555283404,False
60,15285,216,487,3798,612,0.0530842958957974,0.2446206115515288,0.4435318275154004,0.3529411764705882,True,15285,10.05546829909311,4.114114296081071,True
61,19459,516,630,5142,1738,0.0981735159817351,0.2786177105831533,0.819047619047619,0.2968929804372842,True,19459,18.802532632332426,3.68479709712733,True
61,17125,66,630,2253,321,0.0234291799787007,0.0745762711864406,0.1047619047619047,0.205607476635514,False,19459,18.802532632332426,3.68479709712733,True
61,18983,10,630,2909,779,0.0028336639274582,0.0071479628305932,0.0158730158730158,0.0128369704749679,False,19459,18.802532632332426,3.68479709712733,True
61,17114,6,630,2173,242,0.0021451555237754,0.0069284064665127,0.0095238095238095,0.024793388429752,False,19459,18.802532632332426,3.68479709712733,True
62,17136,69,315,3266,354,0.0196469248291571,0.115,0.219047619047619,0.1949152542372881,True,17136,9.02478858866372,8.062527822716637,False
62,18991,92,315,2346,792,0.0358115998442973,0.0906403940886699,0.2920634920634921,0.1161616161616161,False,17136,9.02478858866372,8.062527822716637,False
63,14192,221,665,3056,1042,0.0631428571428571,0.148721399730821,0.3323308270676692,0.2120921305182341,True,14192,13.611438805068628,5.1534973667527355,True
63,17103,40,665,2565,967,0.012539184952978,0.0251256281407035,0.0601503759398496,0.0413650465356773,False,14192,13.611438805068628,5.1534973667527355,True
63,17116,29,665,2518,767,0.0091946734305643,0.0206699928724162,0.0436090225563909,0.0378096479791395,False,14192,13.611438805068628,5.1534973667527355,True
64,19469,216,322,3914,1002,0.053731343283582,0.1949458483754512,0.6708074534161491,0.2155688622754491,True,19469,15.147795575225759,3.1901260154331177,True
65,18368,28,100,3411,629,0.0080390467987367,0.0399429386590584,0.28,0.0445151033386327,False,17057,7.508089149257356,7.452445086560334,False
65,15779,31,100,2363,867,0.0127467105263157,0.0331196581196581,0.31,0.035755478662053,False,17057,7.508089149257356,7.452445086560334,False
65,17057,26,100,1900,1227,0.0131712259371833,0.0199846272098385,0.26,0.0211898940505297,True,17057,7.508089149257356,7.452445086560334,False
66,19858,99,128,2125,835,0.0459610027855153,0.1145833333333333,0.7734375,0.118562874251497,True,19858,14.142483504669181,3.8586710581381616,True
67,19531,316,398,4625,1007,0.0671340556617803,0.2901744719926538,0.7939698492462312,0.3138033763654419,True,19531,18.774127284865028,6.665279199819653,True
68,19474,297,630,3923,520,0.0697838345864661,0.3481828839390387,0.4714285714285714,0.5711538461538461,True,19474,12.204879490786615,4.941400618372295,True
68,19001,144,630,2712,431,0.0450281425891182,0.1570338058887677,0.2285714285714285,0.334106728538283,False,19474,12.204879490786615,4.941400618372295,True
68,18987,33,630,2238,483,0.0116402116402116,0.0305555555555555,0.0523809523809523,0.0683229813664596,False,19474,12.204879490786615,4.941400618372295,True
68,20140,10,630,1050,301,0.0059880239520958,0.01085776330076,0.0158730158730158,0.0332225913621262,False,19474,12.204879490786615,4.941400618372295,True
69,20450,316,456,2417,1160,0.1235823230348064,0.243076923076923,0.6929824561403509,0.2724137931034482,True,20450,18.553571197038817,5.075469986428998,True
69,19532,80,456,2461,1546,0.028198801550934,0.0416233090530697,0.175438596491228,0.0517464424320828,False,20450,18.553571197038817,5.075469986428998,True
70,19465,266,347,3185,1578,0.0814451928965094,0.160337552742616,0.7665706051873199,0.1685678073510773,True,19465,18.725195564858424,4.132115920907672,True
70,18991,36,347,2346,1309,0.0135491155438464,0.0222222222222222,0.1037463976945245,0.027501909854851,False,19465,18.725195564858424,4.132115920907672,True
71,20840,260,716,1776,1061,0.1164874551971326,0.1713909030982201,0.3631284916201117,0.2450518378887841,True,17798,15.047955098701907,12.968103704388701,True
71,17798,188,716,4432,664,0.0379032258064516,0.1577181208053691,0.2625698324022346,0.2831325301204819,False,17798,15.047955098701907,12.968103704388701,True
71,20838,87,716,1372,1115,0.0434782608695652,0.0498853211009174,0.1215083798882681,0.0780269058295964,False,17798,15.047955098701907,12.968103704388701,True
71,20422,55,716,3633,1830,0.0128085700978108,0.0220794861501405,0.0768156424581005,0.0300546448087431,False,17798,15.047955098701907,12.968103704388701,True
72,20607,222,624,2319,637,0.0815876515986769,0.2136669874879692,0.3557692307692308,0.3485086342229199,True,19849,7.93459366676769,5.202414711176372,False
72,19849,166,624,2105,1308,0.0647678501755755,0.0939977349943374,0.266025641025641,0.1269113149847094,False,19849,7.93459366676769,5.202414711176372,False
72,19856,187,624,3278,1755,0.0503364737550471,0.0853102189781021,0.2996794871794871,0.1065527065527065,False,19849,7.93459366676769,5.202414711176372,False
72,20610,5,624,3134,809,0.0013322675193178,0.003501400560224,0.0080128205128205,0.0061804697156983,False,19849,7.93459366676769,5.202414711176372,False
73,17764,394,559,5535,1494,0.0691228070175438,0.2374924653405666,0.7048300536672629,0.2637215528781794,True,17764,8.75212618292473,3.2766833396685247,False
73,19469,7,559,3914,1127,0.0015673981191222,0.004169148302561,0.0125223613595706,0.0062111801242236,False,17764,8.75212618292473,3.2766833396685247,False
74,17103,297,521,2565,1571,0.1064897812836142,0.1654596100278551,0.5700575815738963,0.1890515595162317,True,17103,9.023660648707807,4.2463364346531085,False
74,16443,39,521,2028,1247,0.0155378486055776,0.0225563909774436,0.0748560460652591,0.0312750601443464,False,17103,9.023660648707807,4.2463364346531085,False
