mouse,plane,stage,step,is_last,cells,tile,area_p99,area_max,bloated,torn,rim_area_p99,core_area_p99,iou_cell_dense,match_dense,offset_dense,partners_dense,iou_cell_rigid,match_rigid,offset_rigid,partners_rigid,flipped
CIM132,2,affine,2,False,692,,1.0,1.0,0.0,2.4566473988439306,1.0,1.0,0.20416685752675856,34.53757225433526,6.4192921405336705,1.4176300578034682,0.20421028315765158,34.2485549132948,6.424562467665901,1.4277456647398843,0.0
CIM132,2,tile_500,3,False,692,500.0,1.0828902765388047,1.1037037037037036,0.0,2.601156069364162,1.0808750000000005,1.0838893844781445,0.2332325125670955,39.30635838150289,6.167917338432025,1.510115606936416,0.2295089581950896,39.30635838150289,6.1773855006972695,1.5245664739884393,0.17825311942959002
CIM132,2,tile_200,4,False,692,200.0,1.1588243974422041,1.2330827067669172,0.0,2.4566473988439306,1.1274261603375528,1.1759798308734704,0.25101094861344203,41.18497109826589,5.81471619285278,1.4132947976878614,0.25413477310005467,41.61849710982659,5.851979242343244,1.4118497109826589,0.7168458781362007
CIM132,2,tile_100,5,True,692,100.0,1.209377990430622,1.3984962406015038,0.0,3.0346820809248554,1.1463795853269536,1.250274831243973,0.24788302363857548,42.34104046242775,5.331038425191151,1.3395953757225434,0.25121499516361145,42.48554913294797,5.448190649375643,1.3352601156069364,1.303538175046555
CIM132,3,baseline,0,False,656,,1.0,1.0,0.0,2.2865853658536586,1.0,1.0,0.13664223005255613,21.036585365853657,8.870015392445517,1.701219512195122,0.13664223005255613,21.036585365853657,8.870015392445517,1.701219512195122,0.0
CIM132,3,global,1,False,656,,1.0,1.0,0.0,2.2865853658536586,1.0,1.0,0.19323680442403596,30.03048780487805,7.342773714613988,1.6356707317073171,0.19323680442403596,30.03048780487805,7.342773714613988,1.6356707317073171,0.0
CIM132,3,affine,2,False,656,,1.0582013574660634,1.1219512195121952,0.0,2.2865853658536586,1.0589457601222307,1.0568213707501348,0.1725937183383992,32.6219512195122,7.117316592606178,1.486280487804878,0.1723716606033881,32.6219512195122,7.117316592606178,1.483231707317073,0.20964360587002098
CIM132,3,tile_500,3,False,656,500.0,1.0582013574660634,1.1219512195121952,0.0,2.2865853658536586,1.0589457601222307,1.0568213707501348,0.1725937183383992,32.6219512195122,7.117316592606178,1.486280487804878,0.1723716606033881,32.6219512195122,7.117316592606178,1.483231707317073,0.20964360587002098
CIM132,3,tile_200,4,False,656,200.0,1.2291652691598214,1.6621004566210045,0.3048780487804878,2.7439024390243905,1.3235294117647058,1.142136752136752,0.2164435200831925,37.80487804878049,6.728547652347685,1.521341463414634,0.22137537239324728,37.957317073170735,6.619379787944056,1.516768292682927,2.10727969348659
CIM132,3,tile_100,5,True,656,100.0,1.2957772450673062,1.6621004566210045,0.3048780487804878,3.353658536585366,1.3104201658990906,1.230487686773658,0.24307769135959878,42.68292682926829,5.963694600421201,1.4847560975609757,0.24281585466556566,41.920731707317074,6.05139111821419,1.4801829268292683,1.9342359767891684
CIM151,0,baseline,0,False,303,,1.0,1.0,0.0,4.62046204620462,1.0,1.0,0.0,11.55115511551155,10.618100835957852,0.9240924092409241,0.0,11.55115511551155,10.618100835957852,0.9240924092409241,0.0
